[pn2401379.lanl.gov:71813] shmem: mmap: an error occurred while determining whether or not /var/folders/36/xt3jx8554vj0_03sz682d5_800074q/T//ompi.pn2401379.7319/jf.0/2451701760/sm_segment.pn2401379.7319.92220000.0 could be created.
InputConverter-u   |   Writing the translated XML to amanzi_infiltration_clay_sand_1d-u_native.xml
CycleDriver        |  New time = 6.65132 d
CycleDriver        |  
CycleDriver        |  Cycle 134: time = 6.65132 d, dt = 1.09564 h
CycleDriver        |  New time = 6.69697 d
CycleDriver        |  
CycleDriver        |  Cycle 135: time = 6.69697 d, dt = 1.36955 h
CycleDriver        |  New time = 6.75404 d
CycleDriver        |  
CycleDriver        |  Cycle 136: time = 6.75404 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.55198e+17 ||du_tmp0||=8691.36
CycleDriver        |  
CycleDriver        |  Cycle 136: time = 6.75404 d, dt = 1.09564 h
CycleDriver        |  New time = 6.79969 d
CycleDriver        |  
CycleDriver        |  Cycle 137: time = 6.79969 d, dt = 1.09564 h
CycleDriver        |  New time = 6.84534 d
CycleDriver        |  
CycleDriver        |  Cycle 138: time = 6.84534 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.11406e+14 ||du_tmp0||=11625.8
CycleDriver        |  
CycleDriver        |  Cycle 138: time = 6.84534 d, dt = 1.09564 h
CycleDriver        |  New time = 6.89099 d
CycleDriver        |  
CycleDriver        |  Cycle 139: time = 6.89099 d, dt = 1.09564 h
CycleDriver        |  New time = 6.93665 d
CycleDriver        |  
CycleDriver        |  Cycle 140: time = 6.93665 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.82539e+14 ||du_tmp0||=13596
CycleDriver        |  
CycleDriver        |  Cycle 140: time = 6.93665 d, dt = 1.09564 h
CycleDriver        |  New time = 6.9823 d
CycleDriver        |  
CycleDriver        |  Cycle 141: time = 6.9823 d, dt = 1.09564 h
CycleDriver        |  New time = 7.02795 d
CycleDriver        |  
CycleDriver        |  Cycle 142: time = 7.02795 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 142: time = 7.02795 d, dt = 1.09564 h
CycleDriver        |  New time = 7.0736 d
CycleDriver        |  
CycleDriver        |  Cycle 143: time = 7.0736 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.05206e+14 ||du_tmp0||=10171.4
CycleDriver        |  
CycleDriver        |  Cycle 143: time = 7.0736 d, dt = 1.09564 h
CycleDriver        |  New time = 7.11925 d
CycleDriver        |  
CycleDriver        |  Cycle 144: time = 7.11925 d, dt = 1.36955 h
CycleDriver        |  New time = 7.17632 d
CycleDriver        |  
CycleDriver        |  Cycle 145: time = 7.17632 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=9.52599e+19 ||du_tmp0||=11565.5
CycleDriver        |  
CycleDriver        |  Cycle 145: time = 7.17632 d, dt = 1.09564 h
CycleDriver        |  New time = 7.22197 d
CycleDriver        |  
CycleDriver        |  Cycle 146: time = 7.22197 d, dt = 1.09564 h
CycleDriver        |  New time = 7.26762 d
CycleDriver        |  
CycleDriver        |  Cycle 147: time = 7.26762 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.4736e+14 ||du_tmp0||=13212.9
CycleDriver        |  
CycleDriver        |  Cycle 147: time = 7.26762 d, dt = 1.09564 h
CycleDriver        |  New time = 7.31327 d
CycleDriver        |  
CycleDriver        |  Cycle 148: time = 7.31327 d, dt = 1.09564 h
CycleDriver        |  New time = 7.35892 d
CycleDriver        |  
CycleDriver        |  Cycle 149: time = 7.35892 d, dt = 1.36955 h
CycleDriver        |  
CycleDriver        |  Cycle 149: time = 7.35892 d, dt = 1.09564 h
CycleDriver        |  New time = 7.40458 d
CycleDriver        |  
CycleDriver        |  Cycle 150: time = 7.40458 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.32631e+16 ||du_tmp0||=9397.27
CycleDriver        |  
CycleDriver        |  Cycle 150: time = 7.40458 d, dt = 1.09564 h
CycleDriver        |  New time = 7.45023 d
CycleDriver        |  
CycleDriver        |  Cycle 151: time = 7.45023 d, dt = 1.09564 h
CycleDriver        |  New time = 7.49588 d
CycleDriver        |  
CycleDriver        |  Cycle 152: time = 7.49588 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.99957e+15 ||du_tmp0||=12502.1
CycleDriver        |  
CycleDriver        |  Cycle 152: time = 7.49588 d, dt = 1.09564 h
CycleDriver        |  New time = 7.54153 d
CycleDriver        |  
CycleDriver        |  Cycle 153: time = 7.54153 d, dt = 1.09564 h
CycleDriver        |  New time = 7.58718 d
CycleDriver        |  
CycleDriver        |  Cycle 154: time = 7.58718 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.22242e+14 ||du_tmp0||=13783.3
CycleDriver        |  
CycleDriver        |  Cycle 154: time = 7.58718 d, dt = 1.09564 h
CycleDriver        |  New time = 7.63283 d
CycleDriver        |  
CycleDriver        |  Cycle 155: time = 7.63283 d, dt = 1.09564 h
CycleDriver        |  New time = 7.67849 d
CycleDriver        |  
CycleDriver        |  Cycle 156: time = 7.67849 d, dt = 1.36955 h
CycleDriver        |  New time = 7.73555 d
CycleDriver        |  
CycleDriver        |  Cycle 157: time = 7.73555 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.49173e+17 ||du_tmp0||=8895.59
CycleDriver        |  
CycleDriver        |  Cycle 157: time = 7.73555 d, dt = 1.09564 h
CycleDriver        |  New time = 7.7812 d
CycleDriver        |  
CycleDriver        |  Cycle 158: time = 7.7812 d, dt = 1.09564 h
CycleDriver        |  New time = 7.82685 d
CycleDriver        |  
CycleDriver        |  Cycle 159: time = 7.82685 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.83787e+14 ||du_tmp0||=11764.7
CycleDriver        |  
CycleDriver        |  Cycle 159: time = 7.82685 d, dt = 1.09564 h
CycleDriver        |  New time = 7.87251 d
CycleDriver        |  
CycleDriver        |  Cycle 160: time = 7.87251 d, dt = 1.09564 h
CycleDriver        |  New time = 7.91816 d
CycleDriver        |  
CycleDriver        |  Cycle 161: time = 7.91816 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.12692e+14 ||du_tmp0||=13633.6
CycleDriver        |  
CycleDriver        |  Cycle 161: time = 7.91816 d, dt = 1.09564 h
CycleDriver        |  New time = 7.96381 d
CycleDriver        |  
CycleDriver        |  Cycle 162: time = 7.96381 d, dt = 1.09564 h
CycleDriver        |  New time = 8.00946 d
CycleDriver        |  
CycleDriver        |  Cycle 163: time = 8.00946 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=1.91261e+08, ||du_prev||=81280
CycleDriver        |  
CycleDriver        |  Cycle 163: time = 8.00946 d, dt = 1.09564 h
CycleDriver        |  New time = 8.05511 d
CycleDriver        |  
CycleDriver        |  Cycle 164: time = 8.05511 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.68517e+15 ||du_tmp0||=10371.9
CycleDriver        |  
CycleDriver        |  Cycle 164: time = 8.05511 d, dt = 1.09564 h
CycleDriver        |  New time = 8.10076 d
CycleDriver        |  
CycleDriver        |  Cycle 165: time = 8.10076 d, dt = 1.36955 h
CycleDriver        |  New time = 8.15783 d
CycleDriver        |  
CycleDriver        |  Cycle 166: time = 8.15783 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.84757e+20 ||du_tmp0||=11751.5
CycleDriver        |  
CycleDriver        |  Cycle 166: time = 8.15783 d, dt = 1.09564 h
CycleDriver        |  New time = 8.20348 d
CycleDriver        |  
CycleDriver        |  Cycle 167: time = 8.20348 d, dt = 1.09564 h
CycleDriver        |  New time = 8.24913 d
CycleDriver        |  
CycleDriver        |  Cycle 168: time = 8.24913 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.34095e+15 ||du_tmp0||=13282.9
CycleDriver        |  
CycleDriver        |  Cycle 168: time = 8.24913 d, dt = 1.09564 h
CycleDriver        |  New time = 8.29478 d
CycleDriver        |  
CycleDriver        |  Cycle 169: time = 8.29478 d, dt = 1.09564 h
CycleDriver        |  New time = 8.34043 d
CycleDriver        |  
CycleDriver        |  Cycle 170: time = 8.34043 d, dt = 1.36955 h
CycleDriver        |  New time = 8.3975 d
CycleDriver        |  
CycleDriver        |  Cycle 171: time = 8.3975 d, dt = 1.09564 h
CycleDriver        |  New time = 8.44315 d
CycleDriver        |  
CycleDriver        |  Cycle 172: time = 8.44315 d, dt = 1.09564 h
CycleDriver        |  New time = 8.4888 d
CycleDriver        |  
CycleDriver        |  Cycle 173: time = 8.4888 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=7.23156e+14 ||du_tmp0||=10597.1
CycleDriver        |  
CycleDriver        |  Cycle 173: time = 8.4888 d, dt = 1.09564 h
CycleDriver        |  New time = 8.53445 d
CycleDriver        |  
CycleDriver        |  Cycle 174: time = 8.53445 d, dt = 1.36955 h
CycleDriver        |  New time = 8.59152 d
CycleDriver        |  
CycleDriver        |  Cycle 175: time = 8.59152 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.84931e+20 ||du_tmp0||=12144.7
CycleDriver        |  
CycleDriver        |  Cycle 175: time = 8.59152 d, dt = 1.09564 h
CycleDriver        |  New time = 8.63717 d
CycleDriver        |  
CycleDriver        |  Cycle 176: time = 8.63717 d, dt = 1.09564 h
CycleDriver        |  New time = 8.68282 d
CycleDriver        |  
CycleDriver        |  Cycle 177: time = 8.68282 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.61332e+14 ||du_tmp0||=13413.5
CycleDriver        |  
CycleDriver        |  Cycle 177: time = 8.68282 d, dt = 1.09564 h
CycleDriver        |  New time = 8.72847 d
CycleDriver        |  
CycleDriver        |  Cycle 178: time = 8.72847 d, dt = 1.09564 h
CycleDriver        |  New time = 8.77413 d
CycleDriver        |  
CycleDriver        |  Cycle 179: time = 8.77413 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=1.84749e+09, ||du_prev||=228690
CycleDriver        |  
CycleDriver        |  Cycle 179: time = 8.77413 d, dt = 1.09564 h
CycleDriver        |  New time = 8.81978 d
CycleDriver        |  
CycleDriver        |  Cycle 180: time = 8.81978 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.18602e+18 ||du_tmp0||=10227.4
CycleDriver        |  
CycleDriver        |  Cycle 180: time = 8.81978 d, dt = 1.09564 h
CycleDriver        |  New time = 8.86543 d
CycleDriver        |  
CycleDriver        |  Cycle 181: time = 8.86543 d, dt = 1.36955 h
CycleDriver        |  New time = 8.92249 d
CycleDriver        |  
CycleDriver        |  Cycle 182: time = 8.92249 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.01924e+20 ||du_tmp0||=11657.5
CycleDriver        |  
CycleDriver        |  Cycle 182: time = 8.92249 d, dt = 1.09564 h
CycleDriver        |  New time = 8.96815 d
CycleDriver        |  
CycleDriver        |  Cycle 183: time = 8.96815 d, dt = 1.09564 h
CycleDriver        |  New time = 9.0138 d
CycleDriver        |  
CycleDriver        |  Cycle 184: time = 9.0138 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.78055e+14 ||du_tmp0||=13248.8
CycleDriver        |  
CycleDriver        |  Cycle 184: time = 9.0138 d, dt = 1.09564 h
CycleDriver        |  New time = 9.05945 d
CycleDriver        |  
CycleDriver        |  Cycle 185: time = 9.05945 d, dt = 1.09564 h
CycleDriver        |  New time = 9.1051 d
CycleDriver        |  
CycleDriver        |  Cycle 186: time = 9.1051 d, dt = 1.36955 h
CycleDriver        |  New time = 9.16216 d
CycleDriver        |  
CycleDriver        |  Cycle 187: time = 9.16216 d, dt = 1.09564 h
CycleDriver        |  New time = 9.20782 d
CycleDriver        |  
CycleDriver        |  Cycle 188: time = 9.20782 d, dt = 1.09564 h
CycleDriver        |  New time = 9.25347 d
CycleDriver        |  
CycleDriver        |  Cycle 189: time = 9.25347 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.37133e+18 ||du_tmp0||=10540.5
CycleDriver        |  
CycleDriver        |  Cycle 189: time = 9.25347 d, dt = 1.09564 h
CycleDriver        |  New time = 9.29912 d
CycleDriver        |  
CycleDriver        |  Cycle 190: time = 9.29912 d, dt = 1.36955 h
CycleDriver        |  New time = 9.35618 d
CycleDriver        |  
CycleDriver        |  Cycle 191: time = 9.35618 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.96105e+20 ||du_tmp0||=12100.2
CycleDriver        |  
CycleDriver        |  Cycle 191: time = 9.35618 d, dt = 1.09564 h
CycleDriver        |  New time = 9.40184 d
CycleDriver        |  
CycleDriver        |  Cycle 192: time = 9.40184 d, dt = 1.09564 h
CycleDriver        |  New time = 9.44749 d
CycleDriver        |  
CycleDriver        |  Cycle 193: time = 9.44749 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.5393e+14 ||du_tmp0||=13400
CycleDriver        |  
CycleDriver        |  Cycle 193: time = 9.44749 d, dt = 1.09564 h
CycleDriver        |  New time = 9.49314 d
CycleDriver        |  
CycleDriver        |  Cycle 194: time = 9.49314 d, dt = 1.09564 h
CycleDriver        |  New time = 9.53879 d
CycleDriver        |  
CycleDriver        |  Cycle 195: time = 9.53879 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=7.49289e+09, ||du_prev||=778890
CycleDriver        |  
CycleDriver        |  Cycle 195: time = 9.53879 d, dt = 1.09564 h
CycleDriver        |  New time = 9.58444 d
CycleDriver        |  
CycleDriver        |  Cycle 196: time = 9.58444 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.47473e+15 ||du_tmp0||=10182.4
CycleDriver        |  
CycleDriver        |  Cycle 196: time = 9.58444 d, dt = 1.09564 h
CycleDriver        |  New time = 9.63009 d
CycleDriver        |  
CycleDriver        |  Cycle 197: time = 9.63009 d, dt = 1.36955 h
CycleDriver        |  New time = 9.68716 d
CycleDriver        |  
CycleDriver        |  Cycle 198: time = 9.68716 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=8.69597e+19 ||du_tmp0||=11620.1
CycleDriver        |  
CycleDriver        |  Cycle 198: time = 9.68716 d, dt = 1.09564 h
CycleDriver        |  New time = 9.73281 d
CycleDriver        |  
CycleDriver        |  Cycle 199: time = 9.73281 d, dt = 1.09564 h
CycleDriver        |   writing visualization file: domain
CycleDriver        |  New time = 9.77846 d
CycleDriver        |  
CycleDriver        |  Simulation end time: 3.15576e+11 sec.
CycleDriver        |  CPU time stamp: [00:00:07]
CycleDriver        |  
CycleDriver        |  Cycle 200: time = 9.77846 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=5.5753e+14 ||du_tmp0||=13234.6
CycleDriver        |  
CycleDriver        |  Simulation end time: 3.15576e+11 sec.
CycleDriver        |  CPU time stamp: [00:00:07]
CycleDriver        |  
CycleDriver        |  Cycle 200: time = 9.77846 d, dt = 1.09564 h
CycleDriver        |  New time = 9.82411 d
CycleDriver        |  
CycleDriver        |  Cycle 201: time = 9.82411 d, dt = 1.09564 h
CycleDriver        |  New time = 9.86977 d
CycleDriver        |  
CycleDriver        |  Cycle 202: time = 9.86977 d, dt = 1.36955 h
CycleDriver        |  New time = 9.92683 d
CycleDriver        |  
CycleDriver        |  Cycle 203: time = 9.92683 d, dt = 1.09564 h
CycleDriver        |  New time = 9.97248 d
CycleDriver        |  
CycleDriver        |  Cycle 204: time = 9.97248 d, dt = 1.09564 h
CycleDriver        |  New time = 10.0181 d
CycleDriver        |  
CycleDriver        |  Cycle 205: time = 10.0181 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.39039e+17 ||du_tmp0||=10506.5
CycleDriver        |  
CycleDriver        |  Cycle 205: time = 10.0181 d, dt = 1.09564 h
CycleDriver        |  New time = 10.0638 d
CycleDriver        |  
CycleDriver        |  Cycle 206: time = 10.0638 d, dt = 1.09564 h
CycleDriver        |  New time = 10.1094 d
CycleDriver        |  
CycleDriver        |  Cycle 207: time = 10.1094 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=6.45243e+14 ||du_tmp0||=13167.3
CycleDriver        |  
CycleDriver        |  Cycle 207: time = 10.1094 d, dt = 1.09564 h
CycleDriver        |  New time = 10.1551 d
CycleDriver        |  
CycleDriver        |  Cycle 208: time = 10.1551 d, dt = 1.09564 h
CycleDriver        |  New time = 10.2007 d
CycleDriver        |  
CycleDriver        |  Cycle 209: time = 10.2007 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=5.19705e+07, ||du_prev||=4718.62
CycleDriver        |  
CycleDriver        |  Cycle 209: time = 10.2007 d, dt = 1.09564 h
CycleDriver        |  New time = 10.2464 d
CycleDriver        |  
CycleDriver        |  Cycle 210: time = 10.2464 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.02164e+22 ||du_tmp0||=8861.96
CycleDriver        |  
CycleDriver        |  Cycle 210: time = 10.2464 d, dt = 1.09564 h
CycleDriver        |  New time = 10.292 d
CycleDriver        |  
CycleDriver        |  Cycle 211: time = 10.292 d, dt = 1.36955 h
CycleDriver        |  New time = 10.3491 d
CycleDriver        |  
CycleDriver        |  Cycle 212: time = 10.3491 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=4.15805e+18 ||du_tmp0||=10407.7
CycleDriver        |  
CycleDriver        |  Cycle 212: time = 10.3491 d, dt = 1.09564 h
CycleDriver        |  New time = 10.3948 d
CycleDriver        |  
CycleDriver        |  Cycle 213: time = 10.3948 d, dt = 1.09564 h
CycleDriver        |  New time = 10.4404 d
CycleDriver        |  
CycleDriver        |  Cycle 214: time = 10.4404 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.06687e+14 ||du_tmp0||=12678.9
CycleDriver        |  
CycleDriver        |  Cycle 214: time = 10.4404 d, dt = 1.09564 h
CycleDriver        |  New time = 10.4861 d
CycleDriver        |  
CycleDriver        |  Cycle 215: time = 10.4861 d, dt = 1.09564 h
CycleDriver        |  New time = 10.5317 d
CycleDriver        |  
CycleDriver        |  Cycle 216: time = 10.5317 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.56001e+24 ||du_tmp0||=13749.1
CycleDriver        |  
CycleDriver        |  Cycle 216: time = 10.5317 d, dt = 1.09564 h
CycleDriver        |  New time = 10.5774 d
CycleDriver        |  
CycleDriver        |  Cycle 217: time = 10.5774 d, dt = 1.09564 h
CycleDriver        |  New time = 10.623 d
CycleDriver        |  
CycleDriver        |  Cycle 218: time = 10.623 d, dt = 1.36955 h
CycleDriver        |  New time = 10.6801 d
CycleDriver        |  
CycleDriver        |  Cycle 219: time = 10.6801 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.13204e+18 ||du_tmp0||=9712.69
CycleDriver        |  
CycleDriver        |  Cycle 219: time = 10.6801 d, dt = 1.09564 h
CycleDriver        |  New time = 10.7257 d
CycleDriver        |  
CycleDriver        |  Cycle 220: time = 10.7257 d, dt = 1.09564 h
CycleDriver        |  New time = 10.7714 d
CycleDriver        |  
CycleDriver        |  Cycle 221: time = 10.7714 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.67948e+15 ||du_tmp0||=12292
CycleDriver        |  
CycleDriver        |  Cycle 221: time = 10.7714 d, dt = 1.09564 h
CycleDriver        |  New time = 10.817 d
CycleDriver        |  
CycleDriver        |  Cycle 222: time = 10.817 d, dt = 1.09564 h
CycleDriver        |  New time = 10.8627 d
CycleDriver        |  
CycleDriver        |  Cycle 223: time = 10.8627 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.8975e+14 ||du_tmp0||=13735.4
CycleDriver        |  
CycleDriver        |  Cycle 223: time = 10.8627 d, dt = 1.09564 h
CycleDriver        |  New time = 10.9083 d
CycleDriver        |  
CycleDriver        |  Cycle 224: time = 10.9083 d, dt = 1.09564 h
CycleDriver        |  New time = 10.954 d
CycleDriver        |  
CycleDriver        |  Cycle 225: time = 10.954 d, dt = 1.36955 h
CycleDriver        |  New time = 11.0111 d
CycleDriver        |  
CycleDriver        |  Cycle 226: time = 11.0111 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.56446e+17 ||du_tmp0||=8998.68
CycleDriver        |  
CycleDriver        |  Cycle 226: time = 11.0111 d, dt = 1.09564 h
CycleDriver        |  New time = 11.0567 d
CycleDriver        |  
CycleDriver        |  Cycle 227: time = 11.0567 d, dt = 1.09564 h
CycleDriver        |  New time = 11.1024 d
CycleDriver        |  
CycleDriver        |  Cycle 228: time = 11.1024 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.27513e+15 ||du_tmp0||=11845.7
CycleDriver        |  
CycleDriver        |  Cycle 228: time = 11.1024 d, dt = 1.09564 h
CycleDriver        |  New time = 11.148 d
CycleDriver        |  
CycleDriver        |  Cycle 229: time = 11.148 d, dt = 1.09564 h
CycleDriver        |  New time = 11.1937 d
CycleDriver        |  
CycleDriver        |  Cycle 230: time = 11.1937 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.0456e+19 ||du_tmp0||=13651.8
CycleDriver        |  
CycleDriver        |  Cycle 230: time = 11.1937 d, dt = 1.09564 h
CycleDriver        |  New time = 11.2393 d
CycleDriver        |  
CycleDriver        |  Cycle 231: time = 11.2393 d, dt = 1.09564 h
CycleDriver        |  New time = 11.285 d
CycleDriver        |  
CycleDriver        |  Cycle 232: time = 11.285 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.79188e+14 ||du_tmp0||=13147.9
CycleDriver        |  
CycleDriver        |  Cycle 232: time = 11.285 d, dt = 1.09564 h
CycleDriver        |  New time = 11.3306 d
CycleDriver        |  
CycleDriver        |  Cycle 233: time = 11.3306 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.14452e+15 ||du_tmp0||=10514.4
CycleDriver        |  
CycleDriver        |  Cycle 233: time = 11.3306 d, dt = 1.09564 h
CycleDriver        |  New time = 11.3763 d
CycleDriver        |  
CycleDriver        |  Cycle 234: time = 11.3763 d, dt = 1.36955 h
CycleDriver        |  New time = 11.4333 d
CycleDriver        |  
CycleDriver        |  Cycle 235: time = 11.4333 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.1729e+20 ||du_tmp0||=11885.4
CycleDriver        |  
CycleDriver        |  Cycle 235: time = 11.4333 d, dt = 1.09564 h
CycleDriver        |  New time = 11.479 d
CycleDriver        |  
CycleDriver        |  Cycle 236: time = 11.479 d, dt = 1.09564 h
CycleDriver        |  New time = 11.5246 d
CycleDriver        |  
CycleDriver        |  Cycle 237: time = 11.5246 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.45557e+14 ||du_tmp0||=13329.7
CycleDriver        |  
CycleDriver        |  Cycle 237: time = 11.5246 d, dt = 1.09564 h
CycleDriver        |  New time = 11.5703 d
CycleDriver        |  
CycleDriver        |  Cycle 238: time = 11.5703 d, dt = 1.09564 h
CycleDriver        |  New time = 11.6159 d
CycleDriver        |  
CycleDriver        |  Cycle 239: time = 11.6159 d, dt = 1.36955 h
CycleDriver        |  New time = 11.673 d
CycleDriver        |  
CycleDriver        |  Cycle 240: time = 11.673 d, dt = 1.09564 h
CycleDriver        |  New time = 11.7187 d
CycleDriver        |  
CycleDriver        |  Cycle 241: time = 11.7187 d, dt = 1.09564 h
CycleDriver        |  New time = 11.7643 d
CycleDriver        |  
CycleDriver        |  Cycle 242: time = 11.7643 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.14278e+15 ||du_tmp0||=10756.9
CycleDriver        |  
CycleDriver        |  Cycle 242: time = 11.7643 d, dt = 1.09564 h
CycleDriver        |  New time = 11.81 d
CycleDriver        |  
CycleDriver        |  Cycle 243: time = 11.81 d, dt = 1.36955 h
CycleDriver        |  New time = 11.867 d
CycleDriver        |  
CycleDriver        |  Cycle 244: time = 11.867 d, dt = 1.36955 h
Solver::NKA        |   Solver is diverging repeatedly, terminating...
CycleDriver        |  
CycleDriver        |  Cycle 244: time = 11.867 d, dt = 1.09564 h
CycleDriver        |  New time = 11.9127 d
CycleDriver        |  
CycleDriver        |  Cycle 245: time = 11.9127 d, dt = 1.09564 h
CycleDriver        |  New time = 11.9583 d
CycleDriver        |  
CycleDriver        |  Cycle 246: time = 11.9583 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=2.07135e+14 ||du_tmp0||=13451.2
CycleDriver        |  
CycleDriver        |  Cycle 246: time = 11.9583 d, dt = 1.09564 h
CycleDriver        |  New time = 12.004 d
CycleDriver        |  
CycleDriver        |  Cycle 247: time = 12.004 d, dt = 1.09564 h
CycleDriver        |  New time = 12.0496 d
CycleDriver        |  
CycleDriver        |  Cycle 248: time = 12.0496 d, dt = 1.36955 h
Solver::NKA        |   terminating due to overflow ||du||=4.26578e+12, ||du_prev||=1195.12
CycleDriver        |  
CycleDriver        |  Cycle 248: time = 12.0496 d, dt = 1.09564 h
CycleDriver        |  New time = 12.0953 d
CycleDriver        |  
CycleDriver        |  Cycle 249: time = 12.0953 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=3.39911e+14 ||du_tmp0||=10409.5
CycleDriver        |  
CycleDriver        |  Cycle 249: time = 12.0953 d, dt = 1.09564 h
CycleDriver        |  New time = 12.1409 d
CycleDriver        |  
CycleDriver        |  Cycle 250: time = 12.1409 d, dt = 1.36955 h
CycleDriver        |  New time = 12.198 d
CycleDriver        |  
CycleDriver        |  Cycle 251: time = 12.198 d, dt = 1.09564 h
CycleDriver        |  New time = 12.2437 d
CycleDriver        |  
CycleDriver        |  Cycle 252: time = 12.2437 d, dt = 1.09564 h
CycleDriver        |  New time = 12.2893 d
CycleDriver        |  
CycleDriver        |  Cycle 253: time = 12.2893 d, dt = 1.36955 h
Solver::NKA        |   terminating due to preconditioner overflow: ||du_tmp||=1.77472e+15 ||du_tmp0||=13307.5
CycleDriver        |  
CycleDriver        |  Cycle 253: time = 12.2893 d, dt = 1.09564 h
CycleDriver        |  New time = 12.335 d
CycleDriver        |  
CycleDriver        |  Cycle 254: time = 12.335 d, dt = 1.09564 h
CycleDriver        |  New time = 12.3806 d
CycleDriver        |  
CycleDriver        |  Cycle 255: time = 12.3806 d, dt = 1.36955 h
CycleDriver        |  New time = 12.4377 d
CycleDriver        |  
CycleDriver        |  Cycle 256: time = 12.4377 d, dt = 1.09564 h
CycleDriver        |  New time = 12.4833 d
